PK_m,Abscisa,Latitud,Longitud,Cota_terreno_msnm,Cota_rasante_msnm,Cobertura_m
2020.2,K2+020.20,4.368494,-75.213641,1154.7,970.4,184.3
2055.0,K2+055.03,4.368571,-75.213945,1171.8,970.7,201.1
2089.9,K2+089.87,4.368648,-75.214249,1163.9,971.0,192.9
2124.7,K2+124.70,4.368726,-75.214554,1154.8,971.4,183.5
2159.5,K2+159.53,4.368803,-75.214858,1143.5,971.7,171.8
2194.4,K2+194.36,4.368881,-75.215162,1162.3,972.0,190.3
2229.2,K2+229.19,4.368958,-75.215466,1159.1,972.4,186.8
2264.0,K2+264.02,4.369036,-75.21577,1147.4,972.7,174.7
2298.9,K2+298.85,4.369113,-75.216074,1144.7,973.0,171.7
2333.7,K2+333.68,4.369191,-75.216379,1146.5,973.4,173.2
2368.5,K2+368.51,4.369268,-75.216683,1148.7,973.7,175.0
2403.3,K2+403.35,4.369346,-75.216987,1150.7,974.0,176.6
2438.2,K2+438.18,4.369423,-75.217291,1160.2,974.4,185.9
2473.0,K2+473.01,4.369501,-75.217595,1177.7,974.7,203.0
2507.8,K2+507.84,4.369578,-75.217899,1197.4,975.0,222.3
2542.7,K2+542.67,4.369656,-75.218204,1199.6,975.4,224.2
2577.5,K2+577.50,4.369733,-75.218508,1200.6,975.7,224.9
2612.3,K2+612.33,4.369811,-75.218812,1203.6,976.0,227.6
2647.2,K2+647.16,4.369888,-75.219116,1183.6,976.4,207.2
2682.0,K2+681.99,4.369965,-75.21942,1178.7,976.7,202.0
2716.8,K2+716.83,4.370043,-75.219724,1182.3,977.0,205.3
2751.7,K2+751.66,4.37012,-75.220028,1188.8,977.4,211.4
2786.5,K2+786.49,4.370198,-75.220333,1194.4,977.7,216.7
2821.3,K2+821.32,4.370275,-75.220637,1203.8,978.0,225.8
2856.2,K2+856.15,4.370353,-75.220941,1216.8,978.4,238.5
2891.0,K2+890.98,4.37043,-75.221245,1241.2,978.7,262.5
2925.8,K2+925.81,4.370508,-75.221549,1262.3,979.0,283.3
2960.6,K2+960.64,4.370585,-75.221853,1281.5,979.4,302.2
2995.5,K2+995.47,4.370663,-75.222158,1299.8,979.7,320.1
3030.3,K3+030.31,4.37074,-75.222462,1315.7,980.0,335.6
3065.1,K3+065.14,4.370818,-75.222766,1312.8,980.4,332.4
3100.0,K3+099.97,4.370895,-75.22307,1307.4,980.7,326.7
3134.8,K3+134.80,4.370973,-75.223374,1297.3,981.1,316.3
3169.6,K3+169.63,4.37105,-75.223678,1300.5,981.4,319.1
3204.5,K3+204.46,4.371127,-75.223983,1300.6,981.7,318.9
3239.3,K3+239.29,4.371205,-75.224287,1293.9,982.1,311.9
3274.1,K3+274.12,4.371282,-75.224591,1254.1,982.4,271.7
3309.0,K3+308.95,4.37136,-75.224895,1239.8,982.7,257.1
3343.8,K3+343.79,4.371437,-75.225199,1224.7,983.1,241.7
3378.6,K3+378.62,4.371515,-75.225503,1211.9,983.4,228.6
3413.4,K3+413.45,4.371592,-75.225808,1186.7,983.7,203.0
3448.3,K3+448.28,4.37167,-75.226112,1181.2,984.1,197.1
3483.1,K3+483.11,4.371747,-75.226416,1176.9,984.4,192.5
3517.9,K3+517.94,4.371825,-75.22672,1174.5,984.7,189.7
3552.8,K3+552.77,4.371902,-75.227024,1188.5,985.1,203.4
3587.6,K3+587.60,4.37198,-75.227328,1209.8,985.4,224.4
3622.4,K3+622.43,4.372057,-75.227633,1219.1,985.7,233.3
3657.3,K3+657.27,4.372135,-75.227937,1228.7,986.1,242.6
3692.1,K3+692.10,4.372212,-75.228241,1212.9,986.4,226.5
3726.9,K3+726.93,4.372289,-75.228545,1194.8,986.7,208.1
3761.8,K3+761.76,4.372367,-75.228849,1195.7,987.1,208.7
3796.6,K3+796.59,4.372444,-75.229153,1194.7,987.4,207.3
3831.4,K3+831.42,4.372522,-75.229458,1207.4,987.7,219.7
3866.3,K3+866.25,4.372599,-75.229762,1225.8,988.1,237.8
3901.1,K3+901.08,4.372677,-75.230066,1251.0,988.4,262.6
3935.9,K3+935.91,4.372754,-75.23037,1275.8,988.7,287.0
3970.7,K3+970.75,4.372832,-75.230674,1289.1,989.1,300.1
4005.6,K4+005.58,4.372909,-75.230978,1297.5,989.4,308.1
4040.4,K4+040.41,4.372987,-75.231282,1314.2,989.7,324.5
4075.2,K4+075.24,4.373064,-75.231587,1306.2,990.1,316.1
4110.1,K4+110.07,4.373142,-75.231891,1297.9,990.4,307.5
4144.9,K4+144.90,4.373219,-75.232195,1307.3,990.7,316.6
4179.7,K4+179.73,4.373297,-75.232499,1290.5,991.1,299.4
4214.6,K4+214.56,4.373374,-75.232803,1280.7,991.4,289.3
4249.4,K4+249.39,4.373451,-75.233107,1281.3,991.7,289.5
4284.2,K4+284.23,4.373529,-75.233412,1311.5,992.1,319.4
4319.1,K4+319.06,4.373606,-75.233716,1333.9,992.4,341.5
4353.9,K4+353.89,4.373684,-75.23402,1349.1,992.7,356.4
4388.7,K4+388.72,4.373761,-75.234324,1383.9,993.1,390.8
4423.5,K4+423.55,4.373839,-75.234628,1388.5,993.4,395.1
4458.4,K4+458.38,4.373916,-75.234932,1403.6,993.7,409.9
4493.2,K4+493.21,4.373994,-75.235237,1426.5,994.1,432.4
4528.0,K4+528.04,4.374071,-75.235541,1457.5,994.4,463.1
4562.9,K4+562.87,4.374149,-75.235845,1473.5,994.7,478.7
4597.7,K4+597.70,4.374226,-75.236149,1473.9,995.1,478.8
4632.5,K4+632.54,4.374304,-75.236453,1468.7,995.4,473.3
4667.4,K4+667.37,4.374381,-75.236757,1486.2,995.7,490.4
4702.2,K4+702.20,4.374458,-75.237062,1474.3,996.1,478.2
4737.0,K4+737.03,4.374536,-75.237366,1451.7,996.4,455.3
