departamento;municipio;divipola;entidad;tramo;pr;fallecidos;latitud;longitud;gizscore;gipvalue;nombre
CUNDINAMARCA;NEMOCÓN;25486;INVIAS-OTROS;Bogotá - Barbosa;38;10;5.084119;-73.928809;2.10757;0.035068;
SANTANDER;CIMITARRA;68190;INVIAS-OTROS;Puerto Araújo-Cimitarra;27;13;6.345133;-73.960097;2.995412;0.002741;
CUNDINAMARCA;LA VEGA;25402;ANI;Bogotá - Villeta;93;12;4.986548;-74.326199;2.625762;0.008646;Bogotá – La Vega – Villeta (BVLPV)
CUNDINAMARCA;LA VEGA;25402;ANI;Bogotá - Villeta;91;10;4.995154;-74.338199;2.967562;0.003002;Bogotá – La Vega – Villeta (BVLPV)
CUNDINAMARCA;VILLETA;25875;ANI;Bogotá - Villeta;67;10;5.024027;-74.470159;4.676561;0.0000030;Bogotá – La Vega – Villeta (BVLPV)
CUNDINAMARCA;VILLETA;25875;DEPTO;;64;12;5.012001;-74.480712;3.399433;0.000675;
CUNDINAMARCA;VILLETA;25875;INVIAS-OTROS;Villeta-Honda;62;14;5.024411;-74.491387;3.818008;0.000135;
CUNDINAMARCA;GUADUAS;25320;INVIAS-OTROS;Villeta-Honda;36;7;5.060263;-74.575627;1.93442;0.053062;
CUNDINAMARCA;GUADUAS;25320;INVIAS-OTROS;Villeta-Honda;34;8;5.06123;-74.584733;2.454862;0.014094;
CUNDINAMARCA;GUADUAS;25320;INVIAS-OTROS;Villeta-Honda;34;8;5.064345;-74.593076;2.143707;0.032056;
CUNDINAMARCA;MOSQUERA;25473;ANI;Bogotá - Mosquera;72;13;4.696039;-74.173057;2.995412;0.002741;Bogotá (Fontibón) – Faca – Los Alpes
CUNDINAMARCA;FUNZA;25286;ANI;Bogotá - Mosquera;69;25;4.697829;-74.198878;6.546778;0;Bogotá (Fontibón) – Faca – Los Alpes
CUNDINAMARCA;MADRID;25430;ANI;Mosquera - Facatativa - Los Andes;52;5;4.774403;-74.317396;3.138462;0.001698;Bogotá (Fontibón) – Faca – Los Alpes
CUNDINAMARCA;FACATATIVÁ;25269;ANI;Mosquera - Facatativa - Los Andes;52;16;4.780969;-74.325839;2.454862;0.014094;Bogotá (Fontibón) – Faca – Los Alpes
