departamento;municipio;divipola;entidad;pr;icount;clasificacion;latitud;longitud
CESAR;PAILITAS;20517;INVIAS-OTROS;49;7;Bajo;9.022711;-73.634714
CESAR;AGUACHICA;20011;INVIAS-OTROS;85;13;Bajo;8.468076;-73.633501
CESAR;CURUMANÍ;20228;INVIAS-OTROS;63;2;Muy Bajo;9.14217;-73.633461
CESAR;PAILITAS;20517;INVIAS-OTROS;47;10;Bajo;9.001222;-73.62947
CESAR;EL PASO;20250;ANI;40;3;Muy Bajo;9.62205;-73.628369
CESAR;PAILITAS;20517;INVIAS-OTROS;43;3;Muy Bajo;8.973513;-73.62814
CESAR;AGUACHICA;20011;INVIAS-OTROS;81;6;Muy Bajo;8.445196;-73.628025
CESAR;VALLEDUPAR;20001;ANI;62;3;Muy Bajo;10.156431;-73.626538
CESAR;AGUACHICA;20011;INVIAS-OTROS;79;6;Muy Bajo;8.426199;-73.623448
CESAR;AGUACHICA;20011;INVIAS-OTROS;77;8;Bajo;8.410571;-73.6196
CESAR;AGUACHICA;20011;INVIAS-OTROS;75;4;Muy Bajo;8.393383;-73.615179
CESAR;AGUACHICA;20011;INVIAS-OTROS;73;10;Bajo;8.371231;-73.606788
CESAR;AGUACHICA;20011;INVIAS-OTROS;1;8;Bajo;8.263622;-73.603649
CESAR;AGUACHICA;20011;INVIAS-OTROS;57;7;Bajo;8.238673;-73.603535
MAGDALENA;SANTA MARTA;47001;ANI;68;3;Muy Bajo;11.260786;-73.602619
CESAR;AGUACHICA;20011;INVIAS-OTROS;57;3;Muy Bajo;8.223696;-73.602505
CESAR;EL PASO;20250;ANI;36;6;Muy Bajo;9.598131;-73.602047
CESAR;AGUACHICA;20011;INVIAS-OTROS;63;2;Muy Bajo;8.28455;-73.601189
CESAR;VALLEDUPAR;20001;ANI;67;4;Muy Bajo;10.1752;-73.599243
CESAR;CHIRIGUANÁ;20178;ANI;34;2;Muy Bajo;9.582224;-73.593807
CESAR;AGUACHICA;20011;INVIAS-OTROS;67;2;Muy Bajo;8.326607;-73.590889
